code;name;time;pos;Ngroup;timeGroup;posGroup
118946739356394955235246426166508773657081253207211443328035458659160766372495796521025429235317574268231260955088280396542537400540975145056845319218193298778875848111016241475712066648921680586047477650226619515756333149594923492497654287511914377433956722109693465365480453546966267189608517795747832788315546447815794468264010810775302540260216992842072115219210279473551880468689879965336292024775578797788588986884527799257719760488544897268082573236102924199841630938895750216197559064546626379916744411055085357461021414901808021245506674484678654071152302600253770574526495231865428810611683641410984705483694191997752214917176881987682374317894467681315354674830252811845454881350861993510052909314825713839513098803261515178415563334952562259903910543071845199131628770981062927483503715522960115012308057082465540411601215172361973296840673822337603496665973259599191559324892088077660439018099832738787574351927216332891848158035249501210684909878764409598894249550432673893022331514981194056292673675974646682139674311903750886921369174282103975213466202309407807803312107222920690970213757866082909503686209957158709276391829794796009814747703616256384891204190518681976394282677223393911331399956073715001982232405256895374714112804177257232311855883170194573261681534834383649053830897802352051514859875657371224494110721287261716801950468952330930910776073206579421968087481553182297447897187180021249789452783137270638818210701226139293835945430825078516694820750834443724671365282906383020865426951082666672338815515320467336956070943305348509265341582975359131061166970812467148177546240671667563478810585676359670196227567611667109556458599457331768585929542109442046069203432299507292706352428755430071654380133858343292252017935246879112842433173833581129080943419093825751391866593365924690566802099392454645722925491709726949376;JUAN;60473;1000;0;723701;0
114790368000763216671984791672755030960267050049903775726622961638644954927716222442139529510235826470893341353534925460032178736856669294436889985216200352598583773883891381884711113401098087615177200113839865664201025701666748097417330298700239189251222809743552472055988763616619382565798292080749669989821003577224521261607095761827869902749156453147664399781464389515919416026462048431335986088364056471068768057610116708593851634160398518302501686220934425232449330011332603953881754388730302874341514211279284769397958479281029251027564221476610925783027561438299410107779845229412869209008260733567428555154984733691218784062048398375656259129256460723730623345620820208943756978033656673102627030070199984403480004642432416134164560581298524013635753302709121430801693028064899443800288024732702191086926281475225842214804662760243909711625498262307659650117982733764246590616143229139259702019827740646449875063907582588229401995228018653621553422774798326817979966209257098653317314509564707194062541025428721593890803466702249196095330751060684344562612132810399498517953596192030592099901131967543639040632004824193615091259090605467457416083545287015442283387746648257803153191497097430177156378250289626324169448247061684789634933708997065230269994901682581924318295781315361483005035889243335087657664495845504097721876639712987757454687563700520193220512212486917351169472035442580561805280133939094188173237768082670646124894552887527101843732092386519137358751579182242041819195134111679542440779645609730355412311617056742329871852861607744778157916186336578520647302250315667302621336486193566466249746004699731283695524500294057325419346088486745839347041972435254090137600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000;María;720932;999;1;511074;1
3738534235657653949799478874684746284646404650995520437358636695837126727961016237058389378254854093967089938846185102384899321435988626456481144225612201731868888221573426919921519335699242264405387474096330271253727704417591110121571447814397751889120681882551555292739447781178677421340977934029862269845400078577187108663411986836174377361998403779727566782152674748385483986531858512819656882182385030140554701381135835369750330090874618158691009619729086145282939671950283122392277149155271548156179735893208553352660975949796918563239767136387591535829630223611115611721522006466736175501296547411683115256919919596682369715951456545254900455705455220406062075116710926727044191097058247580636499376858233877084849340770406503603198306711449263045029866260088494858945913652454245555515438512095465086874727156153704963780670520542366125771129469036083236949098365791082810161776263713433091028081806182359702429390380808250474894876295312765820911779831847481540269725264552471247693686980886830376725671102099607534082758705689158858915216763959492802328986492187300000998289852551031906418099941452710556328219347513465011172001157434162078828377575860237993089624317274945475026792146883387207822871283947540270068871365758690745394205839961204197971118347901371622182696909354411234547579861808485290915158388656508376679501786702071837470508170041100581311661806094081974461699647708420657833278809904480739981752874476335919720040973316273542756408114094887391575579662353792721586479398997152733815666585549020271550360785511160963627951443592028018779954916221784825045467887861894880363407432545644225888034455396599363936094257743170796854334350655371435506121262242004888418432535104010926084325376;JUAN;227873;998;2;274426;2
9815791439859498737304067455172461689710597271572405202525958730434776659651492448710017433592143891263950358372713127618833429027719969947098002889617666599484918983302698611945881052568355945737726216243573465161632915752542936027904841006283155429314608827207189836080206209792073772692317266335582919056419489583714593586320488074869451571756605751763079025446026706933223389003298327610834918259240828908835834714998338994131836600743330456630691827703364360634912465547768349059496172023597276921224604397975973114374951141751820340367364133432714355924092932276781522901583591207650577109604594474300190068448448769913900836672625764765968820700750619857601463426444911904693498107202339334691706856234185115158948481603380642242460309418872422949433536899752480721818985479671631973583462804972185355008250884438981007856200561599233264545722757914412373104236059922850584989300756339828294092310504133912596799614701299039305832146079873254335189785914849410344446404064111958274834994525332311598056320134300197014597341069212186058738942056637674183134783153738945465366385965945175868483231965487835342141772804159590023802244634141312760243942352791206284326160851289041431669268945016821970142594416998610483548324492774770024009137264393185749529412578357362295986104079000818841612723805058320562747510421188654284613981892480039341446905676026914913549051516781047825095797008431546162836806733027770890464910904154654655298942159514902083081556911950448326210460722160699151031790966935462893182038492686830292161972570895002644994677453985363070468341205084235746503958209994236525283479939020573584087602654336652339536324379216513207748604463622299108908296773814941994505966059571106077281465647917975300616521008833820474334204148208767841542518959013572744055887557173781011377275258163733635883847697558063468773376;María;838160;997;3;762959;3
1841644438684791366728082638580026395468152917188289480543778003318095755876992741049640340148892465533724583853780445758046243872035434460547903743779396772133790333262895326535002955239024694302318652574089528087266831877439621421931113400139162404942653328934268863248572794893501983488320080598926766405167298896182191338899511599280569531035556954482372451007794678685617018674617877876608404236847660664064469942322485001829192636293010604367709509755314373820476599982758267406143031614736634156430708885404337691851323685612537031852567374691714661774916503015386154557396810967296497783139521115390897175572919787984930592352841840167089805095152675292641635731368123478723844887748800106058242814867685991260306975097112964947996251603843402249118263799022441726359485774975331757993039263789841961465652869456080385556666044511457522047071975964201678165880281603245025995667932136726871701092624086044829009832214094178703848746988135799706508482596689661414851496403245598955774219739596521130051239789889976025000199182226183944137569174383017007103567920771394273684574519501162768135514619115042890826837458441451698487231063848634417131939902795706807283740527939059994955350053318934061763696748656881666537408145237793560283199585458018560481933994421079253581949316634867596071201163804884163449485950979622674218339704599167389506105408535337684620183549018450383385459526966756279453750379189478400549920212667055046272185488299533574166827037700853739455209384602028617509306668197872093322279538592757771947239676244408909929461619806382627969284130378812552117318651453375996873772348949966283814917531448212215684415039991052158405807029309645449881681280252510703590027130702268635827054559789372842577456265859592724559352982734728258328942081714604269017624999773354618439172285247496889854582950139379673142585830627716271239316121646976822391519498469376;JUAN;472272;996;4;30184;4
76346591601390149820774558216868532284847576389842473043139274284002661820615384321223427748516993670731797357038501712746722404038179035393068918545249491582347604130304543288235075347316682526966788851425021833465194278497500433574614300306170243363911555632694375688011357326379559378916405284942457302871398718204359485351880115175527187420954480425081496726298739653966456913360942543138617660212071887202108845205410520441101339087762138338617981351138038195910992856675870297599975119064409888034920250691560554716062732594986637842501882902336143671787792969001075866164346799487449448198613503722477038934390942103952392847390550172824873867459957243625374503710961638692057355509224162818848733732501436245286625619992415306701633748743331594941780260916381582072120786437031420061629067432239260144133121882622210264791069451715481801686338640680094280714876210070601813829084056460969586023404661044038904328478757323994524224449561295558902061357280791845242809664513359080275075854811789863206809727976399886760306156338519969192344389270530509665827556789600407015383399522761801585932119861057983745554423387077933493770550030214210241714492970175088268540107122470494718801139901035012772221973882097843367345782421559623888024875969506953199681674878162409896348179933007743494098813057086786833002639423434888426042611411029081864835170503029932870471085410204903830624537913986541539332217241566352639347429316192967042396103786766343448961137044938683419031560274877408679943637855561890337975562588196388275990939805165025335019934737538473247308765942960320975841451611956939736259003082549652558130620938671706856495517262537579413790640060388110789846716577675091700824753971309641633372797582366113567991105754205268213760000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000;María;881803;995;5;991533;5
689065768040043088849161084881851170419826219165116397245672377872277293660071529629251100162732415413935835671496527272793174395354352200103630145219477420881404147773755629768249869901222703770164859351086376496343612873383498316027987639444722318738133972940002939212471848665465883433602839666937948604287504080755819497284747101293522728531251956672585621638761934062423876650438975639648654173066990248049811287754210787090858128656345313748600392497401111549276936946415283325739323329221497878550414504990145751435200612042592558943239764246947069274061106595344481850208769948220145064997565482288257332617388805821475334927358647061878224784884358611916135071501787516573981028184751082430737207726686796327915104335580543748183632556296144426247773871321124285801044363561996602703268472669577680287373776127883711417244471894233882775260876125136444518385024215923705451981060876865080526912972813379922078352183173524574238292006435678541127861393552273218546796111353325542293132688209970578608601749694968718324672888877734845190855902417244947583211613462059076857842493552646304617014597977202851598127628799196815670249112018506030909945414424691250844215584002147493005469793453366395572881750672280600071970326532297748817339551427598032151420883681694368706457454890925063786736142643687148717596447644539439207477056098274640392540765953496676234890332416502046654899627572725394748197076646106949921542985413060860475250782571802788590918566080190418597114656152974755415240761688231579164650866103019372179839438751638727366008448489405055464030537482745807642886452087313561064298521980250784484378488594104356619491724788015953713197946295120073188021570785870705196418921086353508459269649227487836743891883656867143261305388128422728880879356888817708174920079369307747173542976167742584148879799623602994656901438653603036762784023042022871511936311627010277376;JUAN;380834;994;6;310397;6
25951364977007814895473139289723857414960094646929240100374451544272364797724748285691885979278384139766093273831538269722018826314194611357749868599180491975008917661000636169184511501866598927071582624405374402643738544958795116419116762060252035863029746800591156739395540806727734457078593680734437023151207634757897590784867688052777403737361821790022838696720327166143468909626065674619655241239076869030144178249534413702882580032269850853009341036035330791584818664385346604759592154580646601241671101190497022272473366486496714387681349252983970648150127326000302696868252327322261684677065243845086139693712640017232458449483835216414552030563347879696878716968231105886830161399437249151876311641783148555785233596327341269986234268894333585741900221880271984140926302907377466546273118039907184231621463632208528662085317513792392980672877346120740421488973780510498360288253204021222053649055831454815787296434443436744446151077364111511342257264856174181105910171346069358509553386690095584525464977386051070473593384141370238772180392945896127132486530685188070965274562402058690707780848316636464544854312639409280446623854071196905173295276796520851487431267758814782107304935289200291939626742819114641507170594027804012282473845471033541282102180753479107174423686777830885002413426065776874252671565277509474712569293091089251226579282524908541630233957375846076853246167946609167307534957912833826945359315822265402468301011530816865780212053478502548700224828508225439500995955389301230768253723618231614795306299138944377724691181496048794367598243061750523216349429797415333263010502652449082326741692815890574031078321950275448001837492211085166909206363490093124911985154431344283931231003157865090401454167922396862787613392203948447436857166904257138682883101609359387782669592426664244145934739624165376;María;582118;993;7;19864;7
2561631556986248204703181582898575843470182024222672265306606143613344865289303830116676798370806942761931072001820690367869237624137938551323038107568819942639150891942167225867974913392164202156366393152436023413143096347567210028389577529616624125959287599095309365947286747789574212162947743588707528778007791445643489234156749719915748172715382012537998308777028727216940175794529467182037534574143473039578443396266848620016577572000231152955931945372297776915256444610429798271692112958344637546057818268551449250980323297109544640485358947638782647462359676036829621508197763558921110941577723334928273375639110831918920494215578384253799338686606292220505776253184867047016852994930903138250649071665356577109627737260490427363352142969400613075710862604245188904868235922473781603605954787007575719167281256287036652422417493088791359570468049503397312467455123240726786513313668492456257201627271107060190722776139616893733570663644231730202677823791321283960261793758031473107841626086308689193508320165344728947981498421179624397051949218838723798392676448491554550861511831046968311244438855239495045279868458529309721904087293687544279641951615362331647573747380948939154453337695630655340868804631217186700568203152168842123988238002551105550570980498252171519618939007062471697070861513289499430939513768259712823328073431108470426371129471411810860131498452456966116784532014737071867607863149845836790593219779483881972787744600147616134301341196234547386982699051851330909252325194630539953223147236108339382452807715741051731578129300427305439687020771604714148069376000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000;JUAN;725695;992;8;706232;8
18732126373894885172862190702525870524728693100055991565005200858291902654257368987274815942549854374163195527537759883146012785783894694893386596137678949342460520732189338740804269926653951604524269973377318314903519764617232543778038405210815342394807481413380174854947466235947604425050862018854628355773244652915403526867567370944988933082545376407644755056520005781170963101629087478747917820619026513627412781813488993265076021152826036979271599096543310064071898883477475943609485831993995274030263690102386525247024315679528974905739604896621494226165093419258762192065981142097298625592044168774918012984966086919536045134436307921505749293186510477165743883743612891139752764239757598109768717870943940337231909052598862526675278942898731635296023430700632278949740810777796375906319730458230474623127324811296775402372189144475237097628700262792590462229149498792660987036429127639072531018588893955804790453683923803981210307514239728430068225541612028570128204008791334552881267375910194494357529719791544055439554846310478683407947834442924563076665345756413953557271877407225239011408909439861269387667221091267479413243733848231812042951317347873141946798704038945250498668844497909272909389502846366116546964222104779782481317240852246707162216665198382293693555915104638363538699610127357544599836629247326288710412820926315921013394428193096044549811216604340901092571704122926647161459728499136025114860158990618498417727456162925443985858291800145591735133757765197578333232826739427229128493279216036917362294166252844029139143842628439303777602174582703232206828592291316098167319431689699695006861334937600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000;María;447222;991;9;99477;9
